Series ID,Year,Period,Label,Value
LASST180000000000003,2022,M01,2022 Jan,2.4
LASST180000000000003,2022,M02,2022 Feb,2.3
LASST180000000000003,2022,M03,2022 Mar,2.2
LASST180000000000003,2022,M04,2022 Apr,2.2
LASST180000000000003,2022,M05,2022 May,2.2
LASST180000000000003,2022,M06,2022 Jun,2.4
LASST180000000000003,2022,M07,2022 Jul,2.6
LASST180000000000003,2022,M08,2022 Aug,2.8
LASST180000000000003,2022,M09,2022 Sep,2.8
LASST180000000000003,2022,M10,2022 Oct,3.0
LASST190000000000003,2020,M01,2020 Jan,2.6
LASST190000000000003,2020,M02,2020 Feb,2.6
LASST190000000000003,2020,M03,2020 Mar,2.6
LASST190000000000003,2020,M04,2020 Apr,10.5
LASST190000000000003,2020,M05,2020 May,8.0
LASST190000000000003,2020,M06,2020 Jun,6.5
LASST190000000000003,2020,M07,2020 Jul,5.8
LASST190000000000003,2020,M08,2020 Aug,5.1
LASST190000000000003,2020,M09,2020 Sep,4.8
LASST190000000000003,2020,M10,2020 Oct,4.5
LASST190000000000003,2020,M11,2020 Nov,4.5
LASST190000000000003,2020,M12,2020 Dec,4.5
LASST190000000000003,2021,M01,2021 Jan,4.4
LASST190000000000003,2021,M02,2021 Feb,4.4
LASST190000000000003,2021,M03,2021 Mar,4.4
LASST190000000000003,2021,M04,2021 Apr,4.5
LASST190000000000003,2021,M05,2021 May,4.5
LASST190000000000003,2021,M06,2021 Jun,4.5
LASST190000000000003,2021,M07,2021 Jul,4.4
LASST190000000000003,2021,M08,2021 Aug,4.3
LASST190000000000003,2021,M09,2021 Sep,4.1
LASST190000000000003,2021,M10,2021 Oct,4.0
LASST190000000000003,2021,M11,2021 Nov,3.9
LASST190000000000003,2021,M12,2021 Dec,3.9
LASST190000000000003,2022,M01,2022 Jan,3.7
LASST190000000000003,2022,M02,2022 Feb,3.5
LASST190000000000003,2022,M03,2022 Mar,3.3
LASST190000000000003,2022,M04,2022 Apr,3.0
